sample_index,sessionId,chargerId,scenario,ensemble_score,health_status,top_1_feature,top_1_zscore,top_2_feature,top_2_zscore,top_3_feature,top_3_zscore,top_1_feature_label,top_2_feature_label,top_3_feature_label
92644,S000573,CSIPV-EUSY-008,mixed_anomaly,0.9999203862194909,Critical,pmc_temp_gap_roll_mean_6,12.883989957692041,pmc_temp_gap,11.5530647586187,pmc_current_gap,6.803809289431611,60-s average module temperature imbalance,Module temperature imbalance,Module current imbalance
92643,S000573,CSIPV-EUSY-008,mixed_anomaly,0.9998835237168868,Critical,current_error_ratio,18.06117781790665,pmc_temp_gap_roll_mean_6,12.586398075691525,pmc_temp_gap,11.316174031295004,Relative current tracking error,60-s average module temperature imbalance,Module temperature imbalance
92619,S000573,CSIPV-EUSY-008,mixed_anomaly,0.9989285091697636,Critical,pmc_temp_gap_roll_mean_6,9.818291865388586,pmc_temp_gap,8.914114111740457,current_error_ratio,7.810499057958594,60-s average module temperature imbalance,Module temperature imbalance,Relative current tracking error
97881,S000608,CSIPV-EUSY-037,efficiency_decline,0.9977638498814277,Critical,pmc_temp_gap_roll_mean_6,8.83454869201421,pmc_temp_gap,8.444552084806206,pmc_current_gap_roll_mean_6,6.755045016631991,60-s average module temperature imbalance,Module temperature imbalance,60-s average module current imbalance
92623,S000573,CSIPV-EUSY-008,mixed_anomaly,0.997006134282593,Critical,current_error_ratio,18.030464421061545,pmc_temp_gap_roll_mean_6,9.783172326518962,pmc_temp_gap,9.589222545843617,Relative current tracking error,60-s average module temperature imbalance,Module temperature imbalance
92618,S000573,CSIPV-EUSY-008,mixed_anomaly,0.9958872275087779,Critical,current_error_ratio,13.566784079573164,pmc_temp_gap_roll_mean_6,9.189308845934079,powerW_roll_std_6,5.926550875572318,Relative current tracking error,60-s average module temperature imbalance,powerW_roll_std_6
92599,S000573,CSIPV-EUSY-008,mixed_anomaly,0.9940738294879657,Critical,pmc_temp_gap,9.146182635963418,pmc_temp_gap_roll_mean_6,8.777116363411624,pmc_current_std,6.321596661014107,Module temperature imbalance,60-s average module temperature imbalance,Variation in module current
97908,S000608,CSIPV-EUSY-037,efficiency_decline,0.9910556010616509,Critical,pmc_temp_gap_roll_mean_6,11.809411285286448,pmc_temp_gap,8.96354169352301,efficiency_roll_mean_6,5.679166022888586,60-s average module temperature imbalance,Module temperature imbalance,60-s average charging efficiency
97909,S000608,CSIPV-EUSY-037,efficiency_decline,0.9906047853681131,Critical,pmc_temp_gap_roll_mean_6,11.139367451589635,pmc_temp_gap,7.730866025897153,efficiency,6.248288457553758,60-s average module temperature imbalance,Module temperature imbalance,Charging efficiency
92625,S000573,CSIPV-EUSY-008,mixed_anomaly,0.989474672649419,Critical,current_error_ratio,14.668503347049137,pmc_temp_gap_roll_mean_6,10.437240730880342,pmc_temp_gap,7.4523837968296,Relative current tracking error,60-s average module temperature imbalance,Module temperature imbalance
