sample_id,txId,sessionId,stationId,chargerId,locationUid,evseId,connectorId,sequenceNumber,sampleTime,timestamp,relativeTsSeconds,startTime,status,chargingState,isCharging,isPreparing,active,ended,startReason,stopReason,stopAvailable,soc,stateOfCharge,voltage,current,powerW,powerKw,currentDemand,currentReservation,targetCurrent,targetVoltage,evMaximumCurrent,evMaximumPowerKw,evMaximumVoltage,maxPowerKw,maxPowerKwActual,maxPowerKwPresent,maxPowerWPresent,chargedEnergyKwh,energyWh,energyWhEstimate,energyWhMeter,calculatedWh,calculatedWhStart,efficiency,environmentalTemperature,pinTemp,pin2temp,boardTemp,rtTemp,AFEHeatsinkTemp,DCDCHeatsinkTemp,evCommunicationActive,evCommunicationStandard,cableConnected,cablesLocked,commNotReady,commNotReadyReasons_count,evPresent,insulationTestStatus,insulationTestFailed,hwFailure,hwFailureReasons_count,alarms_count,errors_count,unavailableReason,chargingProtocol,plugType,plugTypeDetail,voltageCategory,vehicleMacAddress,vehicleRunId,current_error,current_error_abs,current_error_ratio,target_current_error,target_voltage_error,power_vi_error_w,temperature_to_ambient_delta,timestamp_gap_seconds,sequence_gap,missing_ratio,pmc_module_count,pmc_current_mean,pmc_current_std,pmc_current_gap,pmc_powerW_mean,pmc_powerW_std,pmc_powerW_gap,pmc_voltage_mean,pmc_voltage_std,pmc_voltage_gap,pmc_boardTemp_mean,pmc_boardTemp_std,pmc_rtTemp_mean,pmc_AFEHeatsinkTemp_mean,pmc_DCDCHeatsinkTemp_mean,pmc_temp_gap,pmc_voltageTHD_mean,pmc_voltageTHD_max,scenario,anomaly_start_relative_s,anomaly_end_relative_s,label_current_anomaly,label_future_anomaly_5min,label_future_anomaly_10min,label_future_anomaly_15min,label_source
S000001_0000,tx-000001-993424,S000001,CSIPV-EUSY-017,CSIPV-EUSY-017,LOC-0010,5,1,68516,2025-12-10T06:04:00Z,2025-12-10T06:04:00Z,0,2025-12-10T06:04:00Z,Charging,Charging,True,False,True,False,CablePluggedIn,,True,54.262,54.262,703.856,73.43,51850.609,51.851,73.045,97.259,76.564,770.0,500.0,92.058,780.0,150.0,101.74,145.342,145342.321,0.13937,139.373,583721.694,583210.02,583245.266,583105.893,0.96767,25.549,27.075,27.533,28.718,29.558,30.605,32.426,True,ISO,True,True,False,0,True,PASSED,False,False,0,0,0,,ISO15118,CCS2,CCS2,800V,44:1D:B1:4C:3C:26,6A:3D:FB:17:CD:87,-0.385,0.385,0.00528,3.134,66.144,166.462,6.876,10,0,0.0,4,18.731,1.152,2.775,13075.338,123.918,338.949,704.757,0.999,2.442,28.267,0.587,30.052,30.32,32.764,5.995,1.01,1.349,sensor_drift,930.0,1860.0,0,0,0,0,normal_or_no_weak_label
S000001_0001,tx-000001-993424,S000001,CSIPV-EUSY-017,CSIPV-EUSY-017,LOC-0010,5,1,68517,2025-12-10T06:04:10Z,2025-12-10T06:04:10Z,10,2025-12-10T06:04:00Z,Charging,Charging,True,False,True,False,CablePluggedIn,,True,54.552,54.552,703.144,71.954,50306.241,50.306,74.375,80.259,86.073,770.0,500.0,92.058,780.0,150.0,101.74,145.342,145342.321,0.27252,272.52,583516.607,583463.088,583378.413,583105.893,0.95282,25.549,27.288,27.827,27.878,29.737,30.726,30.89,True,ISO,True,True,False,0,True,PASSED,False,False,0,0,0,,ISO15118,CCS2,CCS2,800V,44:1D:B1:4C:3C:26,6A:3D:FB:17:CD:87,2.42,2.42,0.03254,14.119,66.856,-288.057,5.341,10,0,0.0,4,17.756,1.802,4.384,12617.057,138.163,387.032,703.339,2.216,6.145,27.577,0.41,29.746,30.036,30.971,4.585,1.098,1.192,sensor_drift,930.0,1860.0,0,0,0,0,normal_or_no_weak_label
S000001_0002,tx-000001-993424,S000001,CSIPV-EUSY-017,CSIPV-EUSY-017,LOC-0010,5,1,68518,2025-12-10T06:04:20Z,2025-12-10T06:04:20Z,20,2025-12-10T06:04:00Z,Charging,Charging,True,False,True,False,CablePluggedIn,,True,54.827,54.827,698.491,69.151,48157.198,48.157,74.714,88.987,86.498,770.0,500.0,92.058,780.0,150.0,101.74,145.342,145342.321,0.39912,399.116,582734.441,583503.527,583505.009,583105.893,0.94637,25.549,25.965,26.866,29.204,28.685,31.109,31.383,True,ISO,True,True,False,0,True,PASSED,False,False,0,0,0,,ISO15118,CCS2,CCS2,800V,44:1D:B1:4C:3C:26,6A:3D:FB:17:CD:87,5.563,5.563,0.07446,17.347,71.509,-144.038,5.834,10,0,0.0,4,15.723,0.715,1.984,11953.436,104.997,286.222,698.119,0.391,1.069,29.169,0.502,28.3,30.902,30.862,5.123,1.123,1.285,sensor_drift,930.0,1860.0,0,0,0,0,normal_or_no_weak_label
S000001_0003,tx-000001-993424,S000001,CSIPV-EUSY-017,CSIPV-EUSY-017,LOC-0010,5,1,68519,2025-12-10T06:04:30Z,2025-12-10T06:04:30Z,30,2025-12-10T06:04:00Z,Charging,Charging,True,False,True,False,CablePluggedIn,,True,55.229,55.229,701.325,100.074,69866.026,69.866,107.204,127.205,114.837,770.0,500.0,92.058,780.0,150.0,101.74,145.342,145342.321,0.58452,584.524,583064.952,583741.126,583690.417,583105.893,0.95535,25.549,27.171,27.163,28.476,28.095,31.065,31.723,True,ISO,True,True,False,0,True,PASSED,False,False,0,0,0,,ISO15118,CCS2,CCS2,800V,44:1D:B1:4C:3C:26,6A:3D:FB:17:CD:87,7.13,7.13,0.06651,14.763,68.675,-318.313,6.173,10,0,0.0,4,24.968,1.34,3.504,17518.759,95.619,249.972,700.093,1.768,4.698,28.933,0.72,27.121,30.797,31.774,6.498,1.073,1.151,sensor_drift,930.0,1860.0,0,0,0,0,normal_or_no_weak_label
S000001_0004,tx-000001-993424,S000001,CSIPV-EUSY-017,CSIPV-EUSY-017,LOC-0010,5,1,68520,2025-12-10T06:04:40Z,2025-12-10T06:04:40Z,40,2025-12-10T06:04:00Z,Charging,Charging,True,False,True,False,CablePluggedIn,,True,55.763,55.763,705.359,130.29,91081.294,91.081,140.412,153.108,149.838,770.0,500.0,92.058,780.0,150.0,101.74,145.342,145342.321,0.83006,830.063,584919.248,583934.41,583935.956,583105.893,0.97049,25.549,27.138,27.099,29.255,29.877,32.133,32.393,True,ISO,True,True,False,0,True,PASSED,False,False,0,0,0,,ISO15118,CCS2,CCS2,800V,44:1D:B1:4C:3C:26,6A:3D:FB:17:CD:87,10.122,10.122,0.07209,19.548,64.641,-819.949,6.844,10,0,0.0,4,31.754,1.05,2.846,22852.186,197.6,510.077,705.844,1.188,2.933,28.596,0.399,29.19,32.568,32.525,5.335,1.034,1.121,sensor_drift,930.0,1860.0,0,0,0,1,normal_or_no_weak_label
S000001_0005,tx-000001-993424,S000001,CSIPV-EUSY-017,CSIPV-EUSY-017,LOC-0010,5,1,68521,2025-12-10T06:04:50Z,2025-12-10T06:04:50Z,50,2025-12-10T06:04:00Z,Charging,Charging,True,False,True,False,CablePluggedIn,,True,56.471,56.471,706.287,170.844,121824.778,121.825,181.254,190.167,184.628,770.0,500.0,92.058,780.0,150.0,122.333,145.342,145342.321,1.15614,1156.142,583682.699,584376.478,584262.035,583105.893,0.96358,25.549,28.512,29.247,30.132,31.631,32.425,33.849,True,ISO,True,True,False,0,True,PASSED,False,False,0,0,0,,ISO15118,CCS2,CCS2,800V,44:1D:B1:4C:3C:26,6A:3D:FB:17:CD:87,10.409,10.409,0.05743,13.784,63.713,1159.854,8.3,10,0,0.0,4,43.01,1.181,3.17,30480.695,25.052,69.894,704.955,0.981,2.482,30.271,0.575,31.024,32.701,33.854,6.256,1.121,1.385,sensor_drift,930.0,1860.0,0,0,0,1,normal_or_no_weak_label
S000001_0006,tx-000001-993424,S000001,CSIPV-EUSY-017,CSIPV-EUSY-017,LOC-0010,5,1,68522,2025-12-10T06:05:00Z,2025-12-10T06:05:00Z,60,2025-12-10T06:04:00Z,Charging,Charging,True,False,True,False,CablePluggedIn,,True,57.309,57.309,708.854,204.063,144874.17,144.874,208.361,215.737,218.246,770.0,500.0,92.058,780.0,150.0,145.342,145.342,145342.321,1.54158,1541.584,584602.544,584422.847,584647.476,583105.893,0.95779,25.549,30.268,28.84,29.675,29.834,33.26,33.785,True,ISO,True,True,False,0,True,PASSED,False,False,0,0,0,,ISO15118,CCS2,CCS2,800V,44:1D:B1:4C:3C:26,6A:3D:FB:17:CD:87,4.298,4.298,0.02063,14.183,61.146,223.553,8.235,10,0,0.0,4,50.289,1.27,3.329,36238.529,169.826,441.537,708.849,1.098,2.821,29.652,0.758,29.198,33.347,34.308,8.234,1.117,1.379,sensor_drift,930.0,1860.0,0,0,0,1,normal_or_no_weak_label
S000001_0007,tx-000001-993424,S000001,CSIPV-EUSY-017,CSIPV-EUSY-017,LOC-0010,5,1,68523,2025-12-10T06:05:10Z,2025-12-10T06:05:10Z,70,2025-12-10T06:04:00Z,Charging,Charging,True,False,True,False,CablePluggedIn,,True,58.121,58.121,710.927,195.461,140135.195,140.135,210.992,223.479,211.523,770.0,500.0,92.058,780.0,150.0,141.329,145.342,145342.321,1.9156,1915.595,585438.186,585153.469,585021.488,583105.893,0.96082,25.549,29.014,28.738,29.305,30.918,34.273,35.16,True,ISO,True,True,False,0,True,PASSED,False,False,0,0,0,,ISO15118,CCS2,CCS2,800V,44:1D:B1:4C:3C:26,6A:3D:FB:17:CD:87,15.531,15.531,0.07361,16.062,59.073,1176.909,9.611,10,0,0.0,4,49.237,0.427,1.084,34970.265,266.357,637.067,711.462,1.833,4.518,29.614,0.698,30.443,34.253,34.95,7.119,1.365,1.587,sensor_drift,930.0,1860.0,0,0,0,1,normal_or_no_weak_label
S000001_0008,tx-000001-993424,S000001,CSIPV-EUSY-017,CSIPV-EUSY-017,LOC-0010,5,1,68524,2025-12-10T06:05:20Z,2025-12-10T06:05:20Z,80,2025-12-10T06:04:00Z,Charging,Charging,True,False,True,False,CablePluggedIn,,True,58.959,58.959,711.474,203.854,144187.843,144.188,205.008,223.846,211.212,770.0,500.0,92.058,780.0,150.0,145.342,145.342,145342.321,2.30099,2300.985,586285.817,585543.197,585406.878,583105.893,0.96222,25.549,29.714,27.987,30.145,32.054,35.449,35.034,True,ISO,True,True,False,0,True,PASSED,False,False,0,0,0,,ISO15118,CCS2,CCS2,800V,44:1D:B1:4C:3C:26,6A:3D:FB:17:CD:87,1.153,1.153,0.00563,7.357,58.526,-849.318,9.484,10,0,0.0,4,50.369,1.277,3.359,36061.564,114.706,277.216,710.867,1.159,3.163,30.243,0.151,32.188,35.032,34.414,5.562,1.105,1.381,sensor_drift,930.0,1860.0,0,0,0,1,normal_or_no_weak_label
S000001_0009,tx-000001-993424,S000001,CSIPV-EUSY-017,CSIPV-EUSY-017,LOC-0010,5,1,68525,2025-12-10T06:05:30Z,2025-12-10T06:05:30Z,90,2025-12-10T06:04:00Z,Charging,Charging,True,False,True,False,CablePluggedIn,,True,59.787,59.787,712.598,200.157,142909.883,142.91,209.618,222.539,220.854,770.0,500.0,92.058,780.0,150.0,144.747,145.342,145342.321,2.68245,2682.451,586155.918,585807.354,585788.344,583105.893,0.96094,25.549,28.488,28.539,28.524,30.716,35.385,36.272,True,ISO,True,True,False,0,True,PASSED,False,False,0,0,0,,ISO15118,CCS2,CCS2,800V,44:1D:B1:4C:3C:26,6A:3D:FB:17:CD:87,9.461,9.461,0.04514,20.697,57.402,278.437,10.723,10,0,0.0,4,49.362,1.135,2.778,35755.098,195.718,473.944,713.308,1.405,3.823,28.324,0.735,30.067,35.361,36.206,8.88,1.192,1.437,sensor_drift,930.0,1860.0,0,0,0,1,normal_or_no_weak_label
S000001_0010,tx-000001-993424,S000001,CSIPV-EUSY-017,CSIPV-EUSY-017,LOC-0010,5,1,68526,2025-12-10T06:05:40Z,2025-12-10T06:05:40Z,100,2025-12-10T06:04:00Z,Charging,Charging,True,False,True,False,CablePluggedIn,,True,60.602,60.602,712.943,198.485,139793.519,139.794,210.395,226.88,215.977,770.0,500.0,92.058,780.0,150.0,141.504,145.342,145342.321,3.05727,3057.271,586490.902,585845.769,586163.164,583105.893,0.96524,25.549,28.865,28.224,29.901,30.972,34.442,34.878,True,ISO,True,True,False,0,True,PASSED,False,False,0,0,0,,ISO15118,CCS2,CCS2,800V,44:1D:B1:4C:3C:26,6A:3D:FB:17:CD:87,11.911,11.911,0.05661,17.492,57.057,-1714.872,9.329,10,0,0.0,4,48.389,1.562,4.136,35031.101,116.238,320.346,712.443,1.584,3.35,30.06,0.569,30.673,35.094,34.879,7.393,1.108,1.286,sensor_drift,930.0,1860.0,0,0,0,1,normal_or_no_weak_label
S000001_0011,tx-000001-993424,S000001,CSIPV-EUSY-017,CSIPV-EUSY-017,LOC-0010,5,1,68527,2025-12-10T06:05:50Z,2025-12-10T06:05:50Z,110,2025-12-10T06:04:00Z,Charging,Charging,True,False,True,False,CablePluggedIn,,True,61.457,61.457,718.402,206.956,148155.218,148.155,208.797,227.538,215.264,770.0,500.0,92.058,780.0,150.0,145.342,145.342,145342.321,3.4509,3450.897,586280.598,586534.262,586556.79,583105.893,0.95647,25.549,29.035,29.151,29.817,32.077,34.743,35.106,True,ISO,True,True,False,0,True,PASSED,False,False,0,0,0,,ISO15118,CCS2,CCS2,800V,44:1D:B1:4C:3C:26,6A:3D:FB:17:CD:87,1.84,1.84,0.00881,8.307,51.598,-522.65,9.557,10,0,0.0,4,51.865,1.42,3.899,36939.38,158.407,419.826,718.263,1.334,3.624,30.533,0.52,31.737,34.508,34.806,5.512,1.201,1.418,sensor_drift,930.0,1860.0,0,0,0,1,normal_or_no_weak_label
